source_table,itemid,category,label,feature_name,unit_or_window,type,transform_note,binning,final_usage
emar,,,Belladonna & Opium (16.2/30mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Bupivacaine 0.1%|HYDROmorphone (Dilaudid),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Bupivacaine 0.1%|Hydromorphone,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Buprenorphine-Naloxone (8mg-2mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Buprenorphine-Naloxone Tablet (8mg-2mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Codeine Sulfate,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Fentanyl Citrate,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Fentanyl Infusion – Comfort Care Guidelines,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Fentanyl Patch,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,GuaiFENesin-CODEINE Phosphate,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Guaifenesin-CODEINE Phosphate,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,HYDROcodone-Acetaminophen (5mg-325mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,HYDROmorphone (Dilaudid),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,HYDROmorphone Infusion – Comfort Care Guidelines,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Hydrocodone-Acetaminophen (5mg-325mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Hydromorphone (Oral Solution) 1 mg/1 mL,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Meperidine,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Methadone,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Morphine Infusion – Comfort Care Guidelines,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Morphine SR (MS Contin),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Morphine Sulfate,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Morphine Sulfate (Oral Solution) 2 mg/mL,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Morphine Sulfate IR,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxyCODONE (Immediate Release),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxyCODONE Liquid,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxyCODONE SR (OxyCONTIN),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxyCODONE SR (OxyconTIN),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxyCODONE--Acetaminophen (5mg-325mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxycoDONE (Concentrated Oral Soln),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxycoDONE (Immediate Release),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,OxycoDONE Liquid,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Oxycodone-Acetaminophen,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Oxycodone-Acetaminophen (5mg-325mg),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,TraMADOL (Ultram),opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,TraMADol,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Dexmedetomidine,sedatives,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
